condition,delta_joint_rmse_rad_mean,delta_joint_rmse_rad_std,delta_orientation_rmse_rad_mean,delta_orientation_rmse_rad_std,delta_tcp_p95_m_mean,delta_tcp_p95_m_std,delta_tcp_rmse_m_mean,delta_tcp_rmse_m_std,ik_method,mpc_method,n
force_pulse_l3,-0.00040110258111149266,0.0011264440972462487,-0.01045813180997008,0.0027561080422575874,-0.015600020997226256,0.005541060305571162,-0.004229751410332416,0.0023431677924539477,preview,ThreadedAsync,20
force_pulse_l6,-0.00022092844128708094,0.0010151767796302451,-0.009029784597758956,0.0031022211804152115,-0.010651749074459075,0.009760298213087217,-0.003266519209301525,0.0028782323578958914,preview,ThreadedAsync,20
nominal,-0.00035845238524861154,0.0013555182218523087,-0.01057517592122806,0.0028371515231107444,-0.01567614035680891,0.00519720417422243,-0.004210492531228594,0.002275646935485912,preview,ThreadedAsync,20
observation_noise_l3,0.0012155960273351248,0.0008882967403309565,-0.005821662809239707,0.0020661624198473915,-0.00463389549404386,0.006685880192478275,8.887141257259475e-05,0.002054454948178507,preview,ThreadedAsync,20
observation_noise_l6,0.0031969075959097917,0.002439017185976171,-0.0026825786470734726,0.004733453599170043,-0.005086195487529062,0.011267738073024544,0.0018068036080024813,0.004723412100905811,preview,ThreadedAsync,20
payload_l3,-0.0014752601141653809,0.0017237111400081127,-0.01989137647398271,0.0030359476736957223,-0.013280317559838242,0.007242136152772395,-0.009596178179388435,0.0030296212683308186,preview,ThreadedAsync,20
payload_l6,-0.010821930980334186,0.0014889389243744374,-0.05849918669838215,0.006261735813267945,-0.026041988804936293,0.010168042036090811,-0.030550936142911638,0.0039141784298738725,preview,ThreadedAsync,20
actuator_gain_l3,-0.002634153585751163,0.0007431553552516517,-0.007796721190270471,0.0025129397139736216,-0.023364107310771928,0.0059233817379549854,-0.008468081949876796,0.001985160329064249,raw,ThreadedAsync,20
actuator_gain_l6,-0.005912280801537344,0.0005620997727487875,-0.016754208444295753,0.001601206307726925,-0.03642706263810399,0.004643762827669611,-0.013792985985894329,0.0013704984813613728,raw,ThreadedAsync,20
force_pulse_l3,-0.003226221615600186,0.0011805745492801164,-0.010016256443869293,0.002758497494961677,-0.03048302549868822,0.005527346972634394,-0.010831527482471895,0.002418187913939575,raw,ThreadedAsync,20
force_pulse_l6,-0.0028598316074480625,0.0011438922659092318,-0.008896994605265458,0.00328340336557868,-0.02520327053964136,0.009947959361347267,-0.00944112503598811,0.0031601183595361946,raw,ThreadedAsync,20
nominal,-0.003193600716173173,0.0013760057961799243,-0.009934661495106068,0.0028400546636250914,-0.03055914485827087,0.005124770770155175,-0.010836474452082181,0.0023091326090426893,raw,ThreadedAsync,20
observation_noise_l3,-0.0016195523035894357,0.0008662595522186618,-0.005181148383117716,0.002080637853516152,-0.019516899995505817,0.006631932323175711,-0.006537110508280995,0.0020034527506045704,raw,ThreadedAsync,20
observation_noise_l6,0.00036175926498523137,0.002374869095026464,-0.0020420642209514825,0.0047345618627562865,-0.019969199988991024,0.01120065528283142,-0.004819178312851109,0.00462313290591968,raw,ThreadedAsync,20
payload_l3,-0.004014147266135781,0.0015518209783311478,-0.0203677986615537,0.003022031523376605,-0.024163885600864916,0.007003346691169203,-0.014071537924363182,0.0027450719405102135,raw,ThreadedAsync,20
payload_l6,-0.012325119031014025,0.0016406728120762597,-0.059076753723874366,0.006272283657463866,-0.0364208744466305,0.010357506492731365,-0.03259571011452336,0.00410325380522293,raw,ThreadedAsync,20
actuator_gain_l3,-0.004460290831574221,0.0006146355487701738,-0.0125785403811387,0.0015151214506855858,-0.03610963204875587,0.004266369862607888,-0.01340751094387633,0.0013861926755802194,physical,VirtualDelayAware,20
actuator_gain_l6,-0.006176327494033955,0.0005089017457546767,-0.01740409003615525,0.0014587235052126997,-0.04131832476705315,0.0032881462970661274,-0.015254274041630045,0.0012073646364587217,physical,VirtualDelayAware,20
force_pulse_l3,-0.003255171745766218,0.0011489880312668796,-0.009668566190072574,0.0023434731592470613,-0.03227576866745949,0.005295638494047527,-0.011118584503677763,0.002068875985675981,physical,VirtualDelayAware,20
force_pulse_l6,-0.0029477463980815146,0.0017692750774799878,-0.00921489320497633,0.0035329172614387942,-0.03063795601949093,0.0047383036510631246,-0.010562305126824552,0.0032240561171032805,physical,VirtualDelayAware,20
nominal,-0.003192545587200315,0.0009186855551737651,-0.009444891915628733,0.0021072155329362953,-0.03093145672231911,0.0055256908456812436,-0.010890561332793489,0.0020607930440962145,physical,VirtualDelayAware,20
observation_noise_l3,-0.002905538464007388,0.0009719897851304652,-0.00889630955297374,0.0021760379286548804,-0.0319367809407413,0.005412419292744327,-0.010538944140235661,0.0021166867089249613,physical,VirtualDelayAware,20
observation_noise_l6,0.001823787631476996,0.0030626121970954473,0.0011799054362475233,0.007089580899906774,-0.01632941283285617,0.01879988970064441,-0.0018543322859896673,0.00737521934783203,physical,VirtualDelayAware,20
payload_l3,-0.002648858412760464,0.0017075881282587427,-0.017885235306649247,0.003349695200460318,-0.02226317137479782,0.009802942605614462,-0.012251727656395942,0.00311497990469761,physical,VirtualDelayAware,20
payload_l6,-0.012667599688246576,0.0017715047479964076,-0.06215851478875155,0.004789350869360417,-0.04120529111474756,0.011629061183688187,-0.035471547368226636,0.00469666662747978,physical,VirtualDelayAware,20
actuator_gain_l3,-0.0009413227994575498,0.0005377987844134926,-0.011879609633774596,0.0015378385642972506,-0.021772892009466884,0.004312471799334098,-0.007160453525601502,0.0012810679189536442,preview,VirtualDelayAware,20
actuator_gain_l6,-0.0013556893365473696,0.0006783571837560449,-0.013367700265938708,0.0015805556957623464,-0.029202787019312382,0.003269255392609725,-0.010042596449097602,0.0012065868591861109,preview,VirtualDelayAware,20
force_pulse_l3,-0.0004300527112775259,0.0011575922301404955,-0.010110441556173362,0.0023933111458937727,-0.01739276416599752,0.005376157183885845,-0.004516808431538286,0.002148468664987439,preview,VirtualDelayAware,20
force_pulse_l6,-0.00030884323192053307,0.0017356964509504364,-0.009347683197469833,0.003542763853194834,-0.016086434554308648,0.0048666480143231645,-0.004387699300137967,0.00322878269536684,preview,VirtualDelayAware,20
