acceleration_violation_count,active_packet_gap_max_s,active_packet_gap_max_steps,active_packet_ratio,actuator_torque_rms_nm,baseline_selection_rate,case_id,command_acceleration_max_abs_rad_s2,command_acceleration_rms_rad_s2,control_compute_max_s,control_compute_p50_s,control_compute_p95_s,control_compute_p99_s,control_deadline_miss_count,control_period_max_s,control_period_p50_s,control_period_p95_s,control_period_p99_s,control_semantics_version,delay_protocol,delay_steps,e2e_max_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,evaluation_set,exact_final_pool_time_max_s,exact_final_pool_time_p50_s,exact_final_pool_time_p95_s,exact_pool_candidate_count_mean,exact_pool_valid_count_mean,exact_selection_changed_rate,failure_rate,fallback_duty_cycle,feedback_rms_rad,feedback_saturation_rate,joint_rmse_rad,joint_violation_count,label,lap_tcp_rmse_m,late_packet_rate,multirate_mode,nominal_command_semantics,orientation_rmse_rad,packet_age_max_steps,packet_age_p50_steps,packet_age_p95_steps,packet_expiration_count,packet_residual_semantics,planner_event_count,planner_execution_qref_error_max_rad,planner_execution_qref_error_p95_rad,planner_execution_qref_error_rms_rad,planner_failure_count,planner_failure_step_rate,planner_hz,projection_activation_rate,projection_discrepancy_max_rad,projection_discrepancy_p95_rad,projection_discrepancy_rms_rad,projection_semantics_version,residual_cost_semantics,residual_feasibility_semantics,residual_rms_rad,residual_saturation_rate,safety_projection_offset_max_rad,safety_projection_offset_p95_rad,safety_projection_offset_rms_rad,seed,solve_max_s,solve_p50_s,solve_p95_s,solve_p99_s,start_jitter_max_s,start_jitter_p50_s,start_jitter_p95_s,start_jitter_p99_s,steps,tcp_p95_m,tcp_rmse_m,total_torque_rms_nm,trajectory,variant,velocity_violation_count,wakeup_lateness_max_s,wakeup_lateness_p50_s,wakeup_lateness_p95_s,wakeup_lateness_p99_s
0,0.06,6,0.9966795794133924,8.430408461689627,0.4558011049723757,circle:1,12.500286102294922,6.220266225161668,0.06592599302530289,0.0008330629789270461,0.036699668690562244,0.037746112793684006,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,common_d,0.011117252986878157,0.00930606049951166,0.010437193803954869,11.240331491712707,11.240331491712707,0.2596685082872928,0.0,0.003320420586607637,nan,0.0,0.011183074198826587,0,TwoStageCompiledCommonD6,0.027845553081245714,0.0,virtual_asap,raw_ik,0.029299007336347046,4.0,2.0,4.0,0,requested,362,0.031000062823295593,0.009420009329915047,0.004103265448662268,0,0.0,nan,0.6823464305478694,0.050765544176101685,0.011803834792226551,0.005574228488094256,2,requested,finite,0.008511313345784068,0.0,0.050765544176101685,0.011803834792226551,0.005574228488094256,1,0.04206673428416252,0.029737324453890324,0.030886147543787955,0.031659769527614116,nan,nan,nan,nan,1807,0.07078425064682957,0.0315674575993392,212.714465858934,circle,TwoStageCompiled,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,8.423334347422026,0.504708097928437,circle:1,12.500286102294922,6.058076312392038,0.0012054960243403912,0.0004868389805778861,0.0006356116035021841,0.0007211016991641374,0,0.010413668118417263,0.009999350178986788,0.010095732985064387,0.010153620969504118,2,full,6,0.045509226620197296,0.03898048400878906,0.04390358924865723,0.04498703703284264,deployed,0.011854006006615236,0.009812688003876247,0.010982083003909793,11.11864406779661,11.11864406779661,0.3032015065913371,0.0,0.003320420586607637,nan,0.0,0.011592735520319168,0,TwoStageCompiledDeployed,0.028313259666289534,0.0,threaded_asap,raw_ik,0.030424587858252816,4.0,2.0,4.0,0,requested,531,0.03946688771247864,0.013255627825856209,0.005816725963851934,0,0.0,29.336029052734375,0.6187050359712231,0.0395234078168869,0.013548426702618594,0.005920441422411045,2,requested,finite,0.008045363164006619,0.0,0.0395234078168869,0.013548426702618594,0.005920441422411045,1,0.03413250297307968,0.03118612989783287,0.03268302232027054,0.033206972479820254,0.00041366799268871546,-6.495008619822329e-07,9.57332449615933e-05,0.0001536206080345437,1807,0.07525248751044272,0.03275375837225353,212.73201114669448,circle,TwoStageCompiled,0,0.0005320056225173175,0.0001951839221874252,0.0002942706225439905,0.0003495832509361208
0,0.06,6,0.9966795794133924,27.548026965446976,0.14917127071823205,circle:2,12.500286102294922,7.411276529725882,0.07810650020837784,0.0008477380033582449,0.04218603819608688,0.04359021171927452,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,common_d,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.019451124513790545,0,ProjectionOffCommonD6,0.04492502149533316,0.0,virtual_asap,raw_ik,0.047739554997624424,4.0,2.0,4.0,0,requested,362,0.22101391851902008,0.09363849461078644,0.03255507944866515,0,0.0,nan,0.8705035971223022,0.22098322212696075,0.0961494490504261,0.03359050848832954,2,requested,finite,0.028849089406703395,0.0,0.22098322212696075,0.0961494490504261,0.03359050848832954,2,0.03755569830536842,0.03492405451834202,0.0366658914834261,0.03713595252484083,nan,nan,nan,nan,1807,0.08790086209774015,0.044954597797413454,214.83482713628655,circle,ProjectionOff,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,23.298575374115185,0.17582417582417584,circle:2,12.500286102294922,7.239681562215113,0.0011295690201222897,0.0005007240106351674,0.0007096551009453831,0.0008601497136987746,0,0.010505840182304382,0.009998036548495293,0.010081210872158408,0.010121946688741446,2,full,6,0.06197993829846382,0.04503869637846947,0.049385134130716324,0.05189637541770935,deployed,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.016478523161858535,0,ProjectionOffDeployed,0.03529046586132571,0.004395604395604396,threaded_asap,raw_ik,0.0414509349091026,8.0,2.0,4.0,0,requested,455,0.1856335699558258,0.05875729862600565,0.025664670317617908,0,0.0,25.13884735107422,0.8527946873270614,0.18568584322929382,0.06088137589395031,0.026598087968450628,2,requested,finite,0.0234770607056651,0.0,0.18568584322929382,0.06088137589395031,0.026598087968450628,2,0.0495641753077507,0.03669363632798195,0.03911137208342552,0.04067260578274727,0.0005058399983681738,-1.9635024273156887e-06,8.121100108837709e-05,0.00012194699447718455,1807,0.07893052175641059,0.04019004840418342,214.14760472060402,circle,ProjectionOff,0,0.0007511993171647191,0.00018926718621514738,0.0002685287676285952,0.0003099958132952452
0,0.06,6,0.9966795794133924,7.124672471346972,0.21823204419889503,circle:2,12.500286102294922,6.045577129364065,0.07499299943447113,0.0008497380185872316,0.04286884032189846,0.044533444195985795,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,common_d,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.012642124426613851,0,FullCompiledCommonD6,0.031541153546575156,0.0,virtual_asap,raw_ik,0.03320583834358736,4.0,2.0,4.0,0,requested,362,0.026999585330486298,0.009999871253967285,0.0041305017886594814,0,0.0,nan,0.6258992805755396,0.04856342077255249,0.010492304293438792,0.004555766256506977,2,requested,finite,0.006634495596452262,0.0,0.04856342077255249,0.010492304293438792,0.004555766256506977,2,0.03899168223142624,0.035556966438889503,0.037346525117754936,0.03798002876341343,nan,nan,nan,nan,1807,0.0797754406929016,0.03559528965423443,212.67232893838624,circle,FullCompiled,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,6.998215813032194,0.26785714285714285,circle:2,12.500286102294922,5.661897107447105,0.003045840887352824,0.0004912710282951593,0.0008437294047325822,0.0010782545362599198,0,0.010382258333265781,0.009998852387070656,0.010089057497680187,0.010155923711135984,2,full,6,0.06438777595758438,0.04565894231200218,0.050780386477708814,0.054849585518240956,deployed,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.01267681256686589,0,FullCompiledDeployed,0.03204603623950916,0.011160714285714286,threaded_asap,raw_ik,0.032684406776121694,10.0,2.0,4.0,0,requested,448,0.041197776794433594,0.012623704969882965,0.005288144259689171,0,0.0,24.780704498291016,0.5157719977863863,0.04296451807022095,0.012964335829019537,0.005487168059979847,2,requested,finite,0.006265820617647802,0.0,0.04296451807022095,0.012964335829019537,0.005487168059979847,2,0.05952068418264389,0.037310369312763214,0.039612910524010655,0.04484321512281897,0.00038225800381042063,-1.1474965049274033e-06,8.905773938749917e-05,0.0001559240117785523,1807,0.07702586874365804,0.03531152080446949,212.83629717941122,circle,FullCompiled,0,0.0005016085924580693,0.00015309690206777304,0.00025395338307134804,0.0003179803583770992
0,0.06,6,0.9966795794133924,9.065479831547153,0.5082872928176796,circle:2,12.500286102294922,6.073789121520543,0.0653902143239975,0.0008449379820376635,0.03714102171361446,0.03836093589663506,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,common_d,0.01131870099925436,0.009417507506441325,0.010625578299368499,11.179558011049723,11.179558011049723,0.26795580110497236,0.0,0.003320420586607637,nan,0.0,0.011305073376925101,0,TwoStageCompiledCommonD6,0.028450883342539725,0.0,virtual_asap,raw_ik,0.029879100968697385,4.0,2.0,4.0,0,requested,362,0.031210005283355713,0.009085152298212051,0.004008844913761634,0,0.0,nan,0.6579966795794134,0.039901427924633026,0.014202730357646909,0.0060381517856002076,2,requested,finite,0.008797595044540215,0.0,0.039901427924633026,0.014202730357646909,0.0060381517856002076,2,0.03280366584658623,0.030179587192833424,0.03129192851483822,0.03218352112919092,nan,nan,nan,nan,1807,0.07159944623708725,0.03194739884810673,212.81291537485126,circle,TwoStageCompiled,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,8.197671451791768,0.5161290322580645,circle:2,12.500286102294922,6.0480908156847875,0.003747612936422229,0.0004891690332442522,0.0006759104027878492,0.0009346655977424241,0,0.01034578401595354,0.00999930314719677,0.010088820243254304,0.010144170420244337,2,full,6,0.047549743205308914,0.03911168500781059,0.04428798519074917,0.045832786709070206,deployed,0.015741680006613024,0.0098618379997788,0.011055828002281486,11.10436432637571,11.10436432637571,0.29791271347248577,0.0,0.003320420586607637,nan,0.0,0.01133172817449312,0,TwoStageCompiledDeployed,0.027957367083477572,0.0,threaded_asap,raw_ik,0.029571210220664466,4.0,2.0,4.0,0,requested,527,0.046827465295791626,0.012305531650781631,0.005488237968677056,0,0.0,29.15135955810547,0.6579966795794134,0.04678378999233246,0.012728978693485257,0.0056284762806191255,2,requested,finite,0.00806344854168463,0.0,0.04678378999233246,0.012728978693485257,0.0056284762806191255,2,0.03677419573068619,0.03133768029510975,0.033090935088694096,0.03440024144947529,0.00034578400664031506,-6.969983132876223e-07,8.88204958755523e-05,0.00014417036072700295,1807,0.07292650267481798,0.03202364899178267,212.82233405164516,circle,TwoStageCompiled,0,0.0005825565312989056,0.00017947582819033414,0.0002744920435361564,0.00031882580078672633
0,0.06,6,0.9966795794133924,7.494117769031904,0.22099447513812154,figure8:0,12.500286102294922,6.020867469319279,0.07693521678447723,0.0008480490068905056,0.04176471047103405,0.04364696279168129,0,nan,nan,nan,nan,2,full,6,nan,nan,nan,nan,common_d,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.010570501559962328,0,ProjectionOffCommonD6,0.02450293538181182,0.0,virtual_asap,raw_ik,0.028067474734529405,4.0,2.0,4.0,0,requested,362,0.041531383991241455,0.009931717067956924,0.004488388228337199,0,0.0,nan,0.600442722744881,0.05263906717300415,0.011096387356519686,0.0050288306206444835,2,requested,finite,0.0076925784513575185,0.0,0.05263906717300415,0.011096387356519686,0.0050288306206444835,0,0.037823643535375595,0.03485248051583767,0.03630053400993347,0.03707380156964064,nan,nan,nan,nan,1807,0.07152972742915148,0.029979469430701945,212.6598989429099,figure8,ProjectionOff,0,nan,nan,nan,nan
0,0.06,6,0.9966795794133924,7.980471578400788,0.24070021881838075,figure8:0,12.500286102294922,5.996067418608385,0.0011853310279548168,0.0004947540001012385,0.0007377205067314206,0.0009195241075940431,0,0.010489641688764095,0.00999846076592803,0.010082407854497433,0.010119964508339763,2,full,6,0.052142705768346786,0.04554331488907337,0.04917450342327356,0.05082459896802902,deployed,nan,nan,nan,nan,nan,nan,0.0,0.003320420586607637,nan,0.0,0.01109999352674811,0,ProjectionOffDeployed,0.02586090538177731,0.0,threaded_asap,raw_ik,0.02913589096675549,5.0,2.0,4.0,0,requested,457,0.03798908367753029,0.012404547072947025,0.005402683070798748,0,0.0,25.2803955078125,0.628666297731046,0.04450003057718277,0.013656698167323993,0.006017258491252174,2,requested,finite,0.007346488465618981,0.0,0.04450003057718277,0.013656698167323993,0.006017258491252174,0,0.04387862980365753,0.036493195220828056,0.03868590295314789,0.0398972075432539,0.000489642028696835,-1.5390085081889993e-06,8.240799434133805e-05,0.00011996414614259268,1807,0.07345497086644173,0.03143535565611835,212.62055830244336,figure8,ProjectionOff,0,0.0007178062805905938,0.00018711041775532067,0.000269549575750716,0.00031946751347277334
