trial_id,family,shape,speed,phase_index,repeat_index,controller,status,tracking_joint_rmse_deg,tracking_tcp_rmse_mm,command_velocity_rms_rad_s,command_acceleration_rms_rad_s2,requested_residual_p95_deg,requested_residual_max_deg,executed_residual_p95_deg,executed_residual_max_deg,safety_violation_count,control_deadline_miss_count,command_velocity_violation_count,command_acceleration_violation_count,command_acceleration_quantization_exceedance_count
ellipse_fast_p0_preview6,heldout,ellipse,fast,0,0,preview6,complete,0.6616429337466679,6.981311660886305,0.04740775336385468,0.8072186678809391,0.0,0.0,0.0,0.0,0,0,0,0,716
ellipse_fast_p0_nn_mpc,heldout,ellipse,fast,0,0,nn_mpc,complete,0.33481832408548473,3.839349402485209,0.08605403163732275,1.2115716582312983,0.9999999922536332,0.9999999922536332,1.2542686397688023,1.8673822568179486,0,0,0,0,934
ellipse_fast_p1_preview6,heldout,ellipse,fast,1,1,preview6,complete,0.6407390915359517,6.185916002549419,0.04740775559072209,0.7819564504113982,0.0,0.0,0.0,0.0,0,0,0,0,677
ellipse_fast_p1_nn_mpc,heldout,ellipse,fast,1,1,nn_mpc,complete,0.3343321252372316,3.7062668009017856,0.07709082189995407,1.1808067886700235,0.9999999922536332,0.9999999922536332,1.0756352659665331,1.7948753164666205,0,0,0,0,932
ellipse_fast_p1_direct,heldout,ellipse,fast,1,1,direct,complete,0.879759916574138,9.94051912314335,0.04740775559072209,0.7819564504113982,0.0,0.0,0.0,0.0,0,0,0,0,677
ellipse_fast_p2_nn_mpc,heldout,ellipse,fast,2,2,nn_mpc,complete,0.36784334092149007,3.8894737184630337,0.08879167498499321,1.2294938029306117,0.9999999922536332,0.9999999922536332,1.3249350789265646,1.9493137910068365,0,0,0,0,931
ellipse_fast_p2_direct,heldout,ellipse,fast,2,2,direct,complete,0.8533080965590141,8.960110280694519,0.046861773467672715,0.811669617272061,0.0,0.0,0.0,0.0,0,0,0,0,714
ellipse_fast_p2_preview6,heldout,ellipse,fast,2,2,preview6,complete,0.5980252478646477,6.089502807301157,0.046861773467672715,0.8116696172720611,0.0,0.0,0.0,0.0,0,0,0,0,714
back_and_forth_nominal_p0_direct,heldout,back_and_forth,nominal,0,0,direct,complete,0.909019678068926,8.977993894986287,0.03773243166697969,0.7368322901547405,0.0,0.0,0.0,0.0,0,0,0,0,714
back_and_forth_nominal_p0_preview6,heldout,back_and_forth,nominal,0,0,preview6,complete,0.6781895832772152,6.7313587278659215,0.03773243166697969,0.7368322901547405,0.0,0.0,0.0,0.0,0,0,0,0,714
back_and_forth_nominal_p0_nn_mpc,heldout,back_and_forth,nominal,0,0,nn_mpc,complete,0.33657769631397116,3.64628485615549,0.08020548662378973,1.1982335793730192,0.9999999922536332,0.9999999922536332,1.3294672509503274,2.0212598020725774,0,0,0,0,1102
back_and_forth_nominal_p1_preview6,heldout,back_and_forth,nominal,1,1,preview6,complete,0.5843170756601633,5.681363744118795,0.038040055837709585,0.7837400087733573,0.0,0.0,0.0,0.0,0,0,0,0,803
back_and_forth_nominal_p1_nn_mpc,heldout,back_and_forth,nominal,1,1,nn_mpc,complete,0.2963198831510824,2.9528352124271002,0.07069650046528843,1.1963061755614568,0.9999999922536332,0.9999999922536332,1.0954176282370058,1.7511616788917157,0,0,0,0,1093
back_and_forth_nominal_p1_direct,heldout,back_and_forth,nominal,1,1,direct,complete,0.8179065578603503,7.812452583737127,0.038040055837709585,0.7837400087733573,0.0,0.0,0.0,0.0,0,0,0,0,803
back_and_forth_nominal_p2_nn_mpc,heldout,back_and_forth,nominal,2,2,nn_mpc,complete,0.3530469418711775,3.6341864969605555,0.08086826888169539,1.1864454431098264,0.9999999922536332,0.9999999922536332,1.2620064116691223,1.9247667314600454,0,0,0,0,1098
back_and_forth_nominal_p2_direct,heldout,back_and_forth,nominal,2,2,direct,complete,0.9013693694736122,8.992806242782022,0.03797873014615772,0.7762091839809118,0.0,0.0,0.0,0.0,0,0,0,0,800
back_and_forth_nominal_p2_preview6,heldout,back_and_forth,nominal,2,2,preview6,complete,0.667828256537698,8.158808037006933,0.03797873014615773,0.7762091839809117,0.0,0.0,0.0,0.0,0,0,0,0,800
back_and_forth_fast_p0_direct,heldout,back_and_forth,fast,0,0,direct,complete,1.0491135906575062,10.195284051325897,0.04841452277697498,0.756911293183219,0.0,0.0,0.0,0.0,0,0,0,0,567
back_and_forth_fast_p0_preview6,heldout,back_and_forth,fast,0,0,preview6,complete,0.732673408947842,7.072788736285945,0.04841452277697498,0.756911293183219,0.0,0.0,0.0,0.0,0,0,0,0,563
back_and_forth_fast_p0_nn_mpc,heldout,back_and_forth,fast,0,0,nn_mpc,complete,0.33290280370465936,3.378018609831313,0.07681552691830935,1.1754861086472637,0.9999999922536332,0.9999999922536332,1.0748307977483524,1.9123643885877717,0,0,0,0,879
back_and_forth_fast_p1_preview6,heldout,back_and_forth,fast,1,1,preview6,complete,0.5784865943330617,5.510725613007513,0.04882052146293839,0.8370179276970181,0.0,0.0,0.0,0.0,0,0,0,0,671
back_and_forth_fast_p1_nn_mpc,heldout,back_and_forth,fast,1,1,nn_mpc,complete,0.3968671027248566,4.268285262648903,0.08122590078456698,1.1811398202145258,0.9999999922536332,0.9999999922536332,1.161248272118058,1.8421440675045169,0,0,0,0,875
