robot,label,trajectory,seed,run_dir,tcp_rmse_mm,command_acceleration_rms_rad_s2,command_acceleration_p95_rad_s2,command_acceleration_max_rad_s2,command_jerk_rms_rad_s3,command_jerk_p95_rad_s3,command_jerk_max_rad_s3,torque_rms_nm,torque_abs_p95_nm,torque_abs_max_nm,torque_slew_rms_nm_s,torque_slew_p95_nm_s,torque_slew_max_nm_s,torque_utilization_p95,torque_utilization_max,absolute_mechanical_power_mean_w,absolute_mechanical_power_p95_w,absolute_mechanical_power_max_w
ABB,ThreadedASAP,circle,4,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/circle_seed_4,26.816029696811725,6.779227543707054,12.500286102294922,12.500286102294922,691.1687481801753,1999.974250793457,2500.0572204589844,15.519510229900682,34.84521884918211,151.13645935058594,194.20785096127995,429.4045716524124,1198.554801940918,nan,nan,4.000851061617302,13.96461560151719,34.491388859323855
ABB,DirectIK,figure8,0,./outputs/robustness/paper_three_ik_l036_s5_v1/physical/nominal/figure8_seed_0,38.01603391284657,0.4908131990705792,1.0307133197784424,2.8248131275177,52.43085625133656,106.91210627555847,457.8828811645508,5.170003450289162,12.304841995239258,23.551441192626953,22.363019345925352,57.230085134506226,109.04455184936523,nan,nan,1.2045949628853312,4.061782232557648,5.534535280592987
ABB,FullVirtual,figure8,0,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/figure8_seed_0,27.752275726630472,6.628610759722814,12.500286102294922,12.500286102294922,699.2200149871,1999.974250793457,2500.0572204589844,15.468242593296736,38.27451591491694,128.36822509765625,187.45989370226275,427.4931848049164,1012.6617431640625,nan,nan,4.269355199334616,16.585251754709038,38.45523764214706
ABB,ThreadedASAP,figure8,0,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/figure8_seed_0,25.973870765022994,6.566459420763751,12.500286102294922,12.500286102294922,673.2747487776246,1999.974250793457,2500.0572204589844,14.711491128093199,36.44279079437251,84.13648986816406,192.64817950915707,455.9920072555542,1147.631549835205,nan,nan,3.531183912164679,12.313018458233,26.13203813217838
ABB,FullVirtual,figure8,1,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/figure8_seed_1,26.447777003591924,6.563825946193026,12.500286102294922,12.500286102294922,684.0049823668343,1999.974250793457,2500.0572204589844,16.30308572793136,38.60411338806152,123.32718658447266,198.67222157242682,441.92970991134644,1268.174934387207,nan,nan,4.194049104061868,15.147739175883485,35.05044700936643
ABB,ThreadedASAP,figure8,1,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/figure8_seed_1,26.10725506088154,6.686113004709647,12.500286102294922,12.500286102294922,702.0921731007335,1999.974250793457,2500.0572204589844,13.105427245630748,31.231667804718015,94.30779266357422,171.72046597704545,404.1796177625656,1060.4422569274902,nan,nan,3.173264314868217,12.976892801675662,21.932816422793437
ABB,FullVirtual,figure8,2,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/figure8_seed_2,26.834763696223472,6.611054717653716,12.500286102294922,12.500286102294922,686.3636766446017,1999.974250793457,2500.0572204589844,17.781737508195345,43.83740558624256,104.54557800292969,199.61355372767798,480.10401725769043,1198.318862915039,nan,nan,4.716507668223311,18.31377645818245,31.32830453385315
ABB,ThreadedASAP,figure8,2,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/figure8_seed_2,26.120105801379168,6.668579850501932,12.500286102294922,12.500286102294922,687.2293459937279,1999.974250793457,2500.0572204589844,11.501820570975065,26.3193789482116,84.5572509765625,166.98446292257213,374.908846616745,1056.2509536743164,nan,nan,2.7069973955445628,11.640287335061258,24.102127734118113
ABB,FullVirtual,figure8,3,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/figure8_seed_3,27.339720370099087,6.602201963598578,12.500286102294922,12.500286102294922,698.6151373883552,1999.974250793457,2500.0572204589844,13.828577511084037,32.891264152526816,81.8415756225586,172.48592261446342,407.3982700705528,1010.5069160461426,nan,nan,3.6093822996958633,13.829466150591331,26.768358625065847
ABB,ThreadedASAP,figure8,3,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/figure8_seed_3,34.92037456349212,7.230257730423571,12.500286102294922,12.500286102294922,716.5344888250696,1999.974250793457,2500.0572204589844,26.624215950316525,67.00329818725584,148.56210327148438,253.3093309900184,529.9697875976562,1203.6140441894531,nan,nan,10.231380029933343,26.70142233886848,51.81205993054568
