robot,label,trajectory,seed,run_dir,tcp_rmse_mm,command_acceleration_rms_rad_s2,command_acceleration_p95_rad_s2,command_acceleration_max_rad_s2,command_jerk_rms_rad_s3,command_jerk_p95_rad_s3,command_jerk_max_rad_s3,torque_rms_nm,torque_abs_p95_nm,torque_abs_max_nm,torque_slew_rms_nm_s,torque_slew_p95_nm_s,torque_slew_max_nm_s,torque_utilization_p95,torque_utilization_max,absolute_mechanical_power_mean_w,absolute_mechanical_power_p95_w,absolute_mechanical_power_max_w,effort_scale
ABB,EffortScale2,figure8,0,./outputs/paper_claim_evidence_v2/runs/cache/f2ba8d88267a7197c459b3df04281cf63c296ca5f58cde1c215b0d82ace2d42e,29.38690017997319,6.315425518280383,12.500286102294922,12.500286102294922,676.5991671058056,1999.974250793457,2500.0572204589844,11.241903290719367,27.862679100036573,78.8338851928711,159.5191444706292,364.54288959503174,996.5072631835938,nan,nan,2.6549954194022254,9.672270054011408,17.40243338797925,2.0
ABB,EffortScale4,figure8,0,./outputs/paper_claim_evidence_v2/runs/cache/609f81511c2407f381bc202e48f4db3041d6e40d9e3849dfc7a6c23f405eb67c,31.830259710190045,5.9540717798778235,12.500286102294922,12.500286102294922,641.211975063959,1999.974250793457,2500.0572204589844,10.94233502828187,25.716963768005364,81.95652770996094,143.24853755813402,340.49427658319473,866.034722328186,nan,nan,2.6452770110299877,10.258372329937437,26.029454421529934,4.0
ABB,EffortScale8,figure8,0,./outputs/paper_claim_evidence_v2/runs/cache/24d48078f66443d57517bcaabf8d10e7b7c92ee25bfc1ec3f7fabe8023d03052,34.63407828900864,5.355693885618681,12.499988555908203,12.500286102294922,558.5909934662785,1550.7638454437256,2500.0572204589844,9.383157730303845,20.95301551818847,84.5726318359375,133.56033282936778,291.3269490003586,1072.8524208068848,nan,nan,2.1201443006510075,8.751367671906484,25.963992843348876,8.0
ABB,EffortScale0.5,figure8,1,./outputs/paper_claim_evidence_v2/runs/cache/da85616aab89ad5f56eb4af70cdc2990952565ca567109f1f2e9e3f53c5faf24,26.039005310984177,6.810931243115631,12.500286102294922,12.500286102294922,709.8437581664098,1999.974250793457,2500.0572204589844,14.648125567110247,35.718873786926245,86.75425720214844,181.22437114623116,434.44464206695557,891.0058975219727,nan,nan,3.583100623856377,12.017562488234347,26.41635957660687,0.5
ABB,EffortScale1,figure8,1,./outputs/paper_claim_evidence_v2/runs/cache/531088607992659cdbdd46015fbddb1ee6ac84dfb6323dd9dbad098e2f3aa511,26.447777003591924,6.563825946193026,12.500286102294922,12.500286102294922,684.0049823668343,1999.974250793457,2500.0572204589844,16.30308572793136,38.60411338806152,123.32718658447266,198.67222157242682,441.92970991134644,1268.174934387207,nan,nan,4.194049104061868,15.147739175883485,35.05044700936643,1.0
ABB,EffortScale2,figure8,1,./outputs/paper_claim_evidence_v2/runs/cache/ba37a97798b1683703b1a1f95f7473e5700ea4e5f072d9008d301b99b55debe4,28.51722721394816,6.631487403893227,12.500286102294922,12.500286102294922,720.9073314001174,1999.974250793457,2500.0572204589844,10.694998746299511,26.047602176666253,86.89485931396484,151.16486492627334,343.18975806236267,928.2766819000244,nan,nan,2.5756769643274664,10.932553994130169,19.58262077054027,2.0
ABB,EffortScale4,figure8,1,./outputs/paper_claim_evidence_v2/runs/cache/26f646dea31d684171ec4f9d801cb091e31faeac6d026bb4a09e69cc71caef55,31.764963688776593,6.28562296815974,12.500286102294922,12.500286102294922,687.1964250697794,1999.974250793457,2500.0572204589844,9.149381727588858,22.057746505737295,65.67789459228516,133.0883255324323,305.02896308898926,881.080436706543,nan,nan,2.1987753585071967,8.801309448684947,20.2182345553445,4.0
ABB,EffortScale8,figure8,1,./outputs/paper_claim_evidence_v2/runs/cache/27d59c26ca713eec9b28e27b9748620d34deeb95fe3157e3d611f0f9f87fbebd,34.45467892614247,5.144498138206131,12.499988555908203,12.500286102294922,551.3188961726366,1466.1028981208801,2500.0572204589844,7.271016981935045,16.84666204452511,54.23428726196289,99.25209107178779,223.8431215286255,809.0371131896973,nan,nan,1.7302619677372533,7.271716468051123,15.61593484344986,8.0
ABB,EffortScale0.5,figure8,2,./outputs/paper_claim_evidence_v2/runs/cache/9b5c7a75bc3c7e15a25c7e2da0408caeab042d3bd258d08bc30fa3cebc4b3f59,24.22032706905567,6.793816307689044,12.500286102294922,12.500286102294922,714.2403864372477,1999.974250793457,2500.0572204589844,13.522018182756277,30.550878238677793,100.3930435180664,184.11199213196943,419.9012812227011,1074.7669219970703,nan,nan,3.203316569422329,13.864777236161055,19.86445914702951,0.5
ABB,EffortScale1,figure8,2,./outputs/paper_claim_evidence_v2/runs/cache/3f0aba7767323497e70833e0f7d65ef9bd00279ff5be52bc44b796b45ee5908a,26.834763696223472,6.611054717653716,12.500286102294922,12.500286102294922,686.3636766446017,1999.974250793457,2500.0572204589844,17.781737508195345,43.83740558624256,104.54557800292969,199.61355372767798,480.10401725769043,1198.318862915039,nan,nan,4.716507668223311,18.31377645818245,31.32830453385315,1.0
ABB,EffortScale2,figure8,2,./outputs/paper_claim_evidence_v2/runs/cache/3e25062960af4ac2526e1570b50d3e683a3b2a62d888d3ba40f089f8bad2d477,25.78416417927422,6.555424217082286,12.500286102294922,12.500286102294922,695.5008645721401,1999.974250793457,2500.0572204589844,15.673353888412386,32.031167793273916,134.56983947753906,197.6775224864738,418.7662124633789,1308.7945580482483,nan,nan,3.3568554900678893,15.256781786756363,29.211782529144735,2.0
ABB,EffortScale4,figure8,2,./outputs/paper_claim_evidence_v2/runs/cache/b5232f66d03e11570283ab5890c70332cac73b975b752a5092b4305d8c46b0a0,28.958969516119275,6.227374943029661,12.500286102294922,12.500286102294922,665.799556635427,1999.974250793457,2500.0572204589844,9.076989336428007,21.635923957824694,76.71926879882812,131.89271765673254,295.5735385417938,876.9172191619873,nan,nan,2.1395542699569563,8.326508678986986,15.23570196288491,4.0
ABB,EffortScale8,figure8,2,./outputs/paper_claim_evidence_v2/runs/cache/1a60a5a8ac71293cdbe01da0fb652ab8bfda931dd4bf0ce0353d474937adaf80,33.57338570710043,5.386266270898531,12.499988555908203,12.500286102294922,590.8487006063689,1729.9652099609375,2500.0572204589844,6.707792119887316,16.21864137649536,49.13898849487305,99.41563208176606,234.21183824539185,606.7739486694336,nan,nan,1.6490364918207179,6.709976134242738,15.027529984375983,8.0
ABB,EffortScale0.5,figure8,3,./outputs/paper_claim_evidence_v2/runs/cache/7b11811cdd63cc3206c8a393f8807a6aae66ff2d0e46766a07c798a559ec7acc,28.504085913718612,6.7735131514198805,12.500286102294922,12.500286102294922,718.2038040095493,1999.974250793457,2500.0572204589844,23.921716415939347,61.84428367614726,195.21511840820312,239.95970588639048,577.9143333435059,1348.3379364013672,nan,nan,6.7471638803948215,19.47205379944414,43.680721865851,0.5
ABB,EffortScale1,figure8,3,./outputs/paper_claim_evidence_v2/runs/cache/4ed9394fd3f90611383ae33f444945914e5441fb4fb2b3fe540abc0c5b3b0c42,27.339720370099087,6.602201963598578,12.500286102294922,12.500286102294922,698.6151373883552,1999.974250793457,2500.0572204589844,13.828577511084037,32.891264152526816,81.8415756225586,172.48592261446342,407.3982700705528,1010.5069160461426,nan,nan,3.6093822996958633,13.829466150591331,26.768358625065847,1.0
ABB,EffortScale2,figure8,3,./outputs/paper_claim_evidence_v2/runs/cache/263104bb7cafee768f4c0624fa2966b45847cc2afded1618354dc59a8c53f93e,28.214763985799745,6.306973722359278,12.500286102294922,12.500286102294922,677.6203540427882,1999.974250793457,2500.0572204589844,12.730591036575515,29.747382354736317,96.24169158935547,160.47684307550122,378.25515158474445,992.3933029174805,nan,nan,3.0164287737988085,11.941828550523672,21.68193390481828,2.0
